Company_Name,Ticker,Sub_Sector,Market_Cap,Close_Price,PE_Ratio,5Y_Historical_Revenue_Growth,1Y_Forward_Revenue_Growth,Total_Revenue,PBT,Taxes_And_Other_Items,DII_Holding_Change_3M,FII_Holding_Change_3M,MF_Holding_Change_3M,Promoter_Holding_Change_3M,Percentage_Buy_Records,No_Of_Analysts_With_Buy_Reco,Percentage Upside,Net_Profit,Profit_Margin,PS_Ratio,Earnings_Yield,Revenue_Growth,Total_Institutional_Holding_Change,Change_Retail_Holding,Composite_Score
Delhivery Ltd,DELHIVERY,Logistics,23323.77526,336.55,-23.0702334,0,13.76969012,7038.43,-1029.32,-18.33,0.270182999,0.001304708,0.259945905,0,69.23076923,9,35.19536473,-1010.99,-14.62428411,3.313775268,-0.044131792,1.276784877,0.531433612,-0.531433612,2.563541945
J K Cement Ltd,JKCEMENT,Cement,23281.22701,3051.55,33.88233061,14.57283622,14.98717064,8133.69,1012.91,325.79,0.829758655,-0.469049054,0.504102261,0,62.5,15,4.258491586,687.12,12.45326537,2.862320424,0.043507587,0.155611408,0.864811862,-0.864811862,-5.102160493
Relaxo Footwears Ltd,RELAXO,Footwear,23221.95718,933.4,99.80211957,10.2322933,4.658590432,2676.99,310.6,77.92,0.371258458,-0.04454094,-0.062426975,0,25,3,-1.971287765,232.68,11.6025835,8.674652195,0.013375272,-0.670876318,0.264290543,-0.264290543,-22.15153046
Crompton Greaves Consumer Electricals Ltd,CROMPTON,Home Electronics & Appliances,23034.98027,364.9,39.82672338,6.876043639,33.02943608,5466.76,751.54,173.16,0.465974148,2.418590423,0.549138738,-3.394169102,89.18918919,33,23.32145793,578.38,13.74744821,4.213643963,0.032626032,1.042129407,3.433703309,-0.039534207,-5.400860613
CPSE ETF,CPSEETF,Equity,23025.67314,38.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,-1,0,0,NULL
Thermax Limited,THERMAX,Industrial Machinery,22848.78539,2029.9,73.16059491,6.354196802,29.46269425,6255.47,410.1,97.79,-0.427350463,0.412517005,0.262887485,0,27.27272727,6,7.813192768,312.31,6.555862309,3.652608899,0.017948438,NULL,0.248054027,-0.248054027,NULL
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,Pharmaceuticals,22505.89181,1329.05,13.28000603,9.183057378,-27.15162757,4700.86,2093,398.28,-0.113805273,0.010680847,-0.234062501,0,42.85714286,3,9.551935593,1694.72,44.52376799,4.787611588,0.09299787,-0.248520095,-0.337186927,0.337186927,7.664513735
Devyani International Ltd,DEVYANI,Restaurants & Cafes,22455.95572,186,143.6445706,14.77178544,48.7130238,2103.38,123.14,-33.19,1.211706832,1.432729875,0.964588039,0.001286589,83.33333333,10,18.27956989,156.33,5.854386749,10.67612876,0.005483623,-0.552554213,3.609024746,-3.610311335,-33.68342833
IPCA Laboratories Ltd,IPCALAB,Pharmaceuticals,22256.61988,871.95,25.17489354,13.22282716,7.483260859,5896.36,1135.72,251.64,0.297174011,-0.035062878,0.304341806,0,42.85714286,9,11.18756809,884.08,19.26137481,3.774637213,0.051028413,1.803278533,0.566452939,-0.566452939,-0.885946814
Central Bank of India Ltd,CENTRALBK,Public Banks,22167.58147,25.15,20.6058631,-1.30454427,0,25889.28,1755.08,679.29,0.034182026,0.012139447,0.033523434,0,0,0,0,1075.79,6.779176555,0.856245576,0.079173274,3.390722412,0.079844907,-0.079844907,-2.589029807
Metro Brands Ltd,METROBRAND,Footwear,22136.01689,815.4,104.6175003,6.170949468,44.887519,1401.57,283.14,71.55,-0.153439134,0.038810437,0.36351281,-0.013327729,75,6,18.10154525,211.59,20.20163103,15.7937291,0.012790919,-0.945862921,0.248884113,-0.235556384,-21.27821202
Fortis Healthcare Ltd,FORTIS,Hospitals & Diagnostic Centres,22070.36064,294.25,39.75781928,3.467247224,0.718961824,6297.97,987.79,432.67,2.429925559,0.926421553,0.646554781,0,100,9,18.94647409,555.12,15.68426017,3.504361031,0.044756405,3.493510849,4.002901893,-4.002901893,-4.144286593
Bata India Ltd,BATAINDIA,Footwear,21984.72784,1711.45,213.4232389,-0.615152743,42.79926833,2443.71,139.72,36.71,-1.136501951,1.032030956,0.008686854,0,75,12,19.81068684,103.01,5.717536042,8.996455324,0.006355321,-0.611984497,-0.095784141,0.095784141,-52.10336787
L&T Finance Holdings Ltd,L&TFH,Diversified Financials,21980.63166,87.15,20.54053477,7.876286137,-41.38407929,12523.56,1422.86,352.75,0.016768304,0.145532491,0.037681434,-0.029763049,81.81818182,9,6.138841079,1070.11,11.36146591,1.75514244,0.064732444,4.124814319,0.199982229,-0.17021918,-1.213568078
Oil India Ltd,OIL,Oil & Gas - Exploration & Production,21974.20312,202.75,3.908866844,18.7315016,22.73638036,27160.04,8990.22,3368.59,-0.163154051,-0.636264843,-0.206308215,0,81.25,13,25.77065351,5621.63,33.10090854,0.809063725,0.409126099,1.168715605,-1.005727109,1.005727109,7.338757548
Vinati Organics Ltd,VINATIORGA,Specialty Chemicals,21962.18282,2172.2,63.36097979,20.74190503,25.95292349,1676.42,449.25,102.63,-0.126439393,0.101428216,-0.134207286,0,75,9,6.343798914,346.62,26.79817707,13.10064472,0.020455617,-0.938276232,-0.159218463,0.159218463,-9.415074354
CRISIL Ltd,CRISIL,Stock Exchanges & Ratings,21682.58981,2938.1,46.54814154,8.697337755,14.97278763,2423.53,618.44,152.63,5.595656583,0.114584368,1.122615097,-0.020290094,100,1,19.12460434,465.81,25.51814915,8.946697507,0.028522423,0.445658009,6.832856048,-6.812565954,-3.437869584
Navin Fluorine International Ltd,NAVINFLUOR,Specialty Chemicals,21626.67291,4299,82.20881479,13.35973271,32.05992309,1492.58,344.23,81.16,1.882299199,-1.353320388,1.445945688,-0.303525001,57.14285714,12,6.303791579,263.07,23.06275041,14.48945645,0.015916919,-0.384129761,1.974924499,-1.671399498,-14.38881741
LIC Housing Finance Ltd,LICHSGFIN,Home Financing,21468.12691,386,9.392569689,7.245620766,-69.51731315,20005.31,2787.25,501.6,1.473665198,0.301068059,1.432474644,0,63.33333333,19,16.58031088,2285.65,13.93255091,1.073121432,0.129832007,12.40317437,3.207207901,-3.207207901,5.037590872
Endurance Technologies Ltd (CN),ENDURANCE,Auto Parts,21401.30894,1504.75,46.45389395,6.195002446,20.08608491,7590.18,586.14,125.44,-0.449046076,0.447108109,0.275498474,0,83.33333333,15,9.719222462,460.7,7.722346506,2.819604929,0.027388044,-0.620591733,0.273560507,-0.273560507,-9.769644668
Grindwell Norton Ltd,GRINDWELL,Industrial Machinery,21378.21312,1927.9,72.31163956,9.804163215,20.97925793,2065.85,395.88,100.24,0.102922688,0.08314216,0.096394509,0,57.14285714,4,6.852015146,295.64,19.16305637,10.34838595,0.018517918,-0.727825954,0.282459357,-0.282459357,-13.39848745
Rajesh Exports Ltd,RAJESHEXPO,"Precious Metals, Jewellery & Watches",21064.04536,713.8,20.87222957,0.081503947,10.98161684,243168.2,1038.33,29.14,-0.033013281,-0.073307603,0.00952415,0,0,0,54.10479126,1009.19,0.427000734,0.086623355,0.04929395,116.7085461,-0.096796734,0.096796734,24.04163014
Pfizer Ltd,PFIZER,Pharmaceuticals,20577.65311,4560.6,33.59287762,3.997039459,-3.794078485,2673.64,772.89,160.33,0.057511048,-0.008339211,-0.655669662,0,83.33333333,5,17.22141823,612.56,28.90778115,7.696493586,0.037559677,-0.989004977,-0.606497825,0.606497825,-1.570149817
Bayer Cropscience Ltd,BAYERCROP,Fertilizers & Agro Chemicals,20381.01551,4519.55,31.58378353,11.0297755,10.36410521,4847.5,846.8,201.5,-0.339098589,0.141401962,-0.330258324,0,55.55555556,5,21.69353144,645.3,17.46879835,4.204438476,0.041548469,0.813071319,-0.527954951,0.527954951,-3.457467203
Mindspace Business Parks REIT,MINDSPACE,Real Estate,20155.50197,334.32,47.55899474,0,20.08580029,1777.2,714.3,290.5,-0.028637739,9.021245153,0.009306629,0,72.72727273,8,13.89792899,423.8,40.19243754,11.34115573,0.035439455,-0.63337803,9.001914043,-9.001914043,0.250494704
PB Fintech Ltd,POLICYBZR,Online Services,20107.77164,460.35,-24.14158989,63.48148729,49.16094512,1550.28,-833.39,-0.48,1.891215944,-1.822995225,2.16038536,0,90.90909091,10,41.19691539,-832.91,-53.75738576,12.97041285,-0.041446164,-0.127683997,2.228606079,-2.228606079,-6.878718448
Dr. Lal PathLabs Ltd,LALPATHLAB,Hospitals & Diagnostic Centres,20077.35762,2413.8,58.22224109,17.88619574,-2.25518234,2139.96,474.99,130.15,-0.257143579,0.890990133,-0.074559809,0,26.31578947,5,-10.92882592,344.84,22.19620927,9.38211818,0.023657994,0.380369998,0.559286745,-0.559286745,-8.771593768
Apollo Tyres Limited,APOLLOTYRE,Tires & Rubber,19848.66599,315.15,31.08104475,9.587636321,15.85954451,21071.16,847.69,209.08,0.526806332,0.927893123,0.360504738,0,70.37037037,19,6.964937331,638.61,4.022986869,0.941982596,0.042707656,8.846520496,1.815204193,-1.815204193,-4.099083298
Emami Ltd,EMAMILTD,FMCG - Personal Products,19666.65548,473.5,23.44114935,5.466148421,6.025346183,3287.28,688,-150.98,0.559598096,-0.223648646,0.705582908,0,77.77777778,21,16.156283,838.98,20.92915724,5.982652978,0.034983071,-0.843991503,1.041532358,-1.041532358,-0.578612815
Tata Teleservices (Maharashtra) Ltd,TTML,Telecom Services,19499.43062,99.15,-16.04891409,-16.92406825,0,1110.72,-1215,0,0.010677326,-0.012668039,0.006172811,0,0,0,0,-1215,-109.3885048,17.55566715,-0.062309512,-0.662115792,0.004182098,-0.004182098,-23.49938109
Sundram Fasteners Ltd,SUNDRMFAST,Auto Parts,19493.37055,918.65,42.68122821,8.289565464,15.33978225,4941.4,621.22,164.5,1.007036794,0.008640908,1.500267194,-1.175471927,100,4,15.38670876,456.72,12.5717408,3.944908437,0.03186827,3.448825987,2.515944896,-1.340472969,-6.036179131
Piramal Enterprises Ltd,PEL,Diversified Financials,19478.27201,820.6,10.12852724,11.84329559,-73.61139221,15366.29,2509.56,586.45,-0.276003012,-2.481868839,-0.128786657,-0.002932997,85.71428571,6,38.85937119,1923.11,16.33159338,1.26759758,0.128838944,2.109703728,-2.886658508,2.889591505,1.356527839
KPR Mill Ltd,KPRMILL,Textiles,19429.96145,573.75,23.08034953,11.58684631,22.05491729,4920.49,1141.52,299.68,-0.107424798,-0.160216668,-0.191216568,0,85.71428571,6,26.53594771,841.84,23.19931552,3.948785883,0.058750503,-0.679786728,-0.458858034,0.458858034,-0.254919694
Hatsun Agro Product Ltd,HATSUN,FMCG - Foods,19422.32797,904.2,89.12595436,8.699127426,18.8400936,6380.17,283.39,65.47,1.522935792,-0.054548704,1.405151376,-1.261810201,0,0,7.830126078,217.92,4.441731176,3.044170919,0.014590939,0.296653382,2.873538464,-1.611728263,-20.37850783
KPIT Technologies Ltd,KPITTECH,IT Services & Consulting,19317.45581,718.1,70.43996431,0,29.12731089,2477.4,344.55,70.31,2.789501268,0.899247376,-0.446053846,0,44.44444444,4,-3.495334912,274.24,13.90772584,7.797471466,0.0178362,-0.611703136,3.242694798,-3.242694798,-13.4753117
Whirlpool of India Ltd,WHIRLPOOL,Home Electronics & Appliances,19270.09032,1526.05,34.02385424,6.358313634,11.45128688,6594.63,650.39,84.02,-0.008443167,0.277137959,0.322233076,0,57.14285714,8,24.1767963,566.37,9.862418362,2.922088172,0.033751269,1.661915718,0.590927868,-0.590927868,-5.477148073
Sun Tv Network Ltd,SUNTV,TV Channels & Broadcasters,19228.61233,489.4,11.71190908,6.311349721,1.312180567,3840.79,2195.37,553.57,-0.764271897,0.466942861,-0.691061224,0,66.66666667,12,17.49080507,1641.8,57.15933441,5.006421161,0.114172045,-0.41758825,-0.98839026,0.98839026,11.0103617
IIFL Finance Ltd,IIFL,Investment Banking & Brokerage,19017.53709,460.45,16.00937544,14.63985331,0,7006.28,1535.99,348.09,0.706048498,2.517387081,0.091358404,-0.001570139,0,0,0,1187.9,21.92304618,2.714355848,0.080767031,0.824176797,3.314793983,-3.313223844,2.51316038
Fine Organic Industries Ltd,FINEORG,Specialty Chemicals,18765.97879,6133.65,72.28526939,19.53573258,53.47348794,1909.32,351.53,91.92,-0.016904775,-0.460655938,0.318379245,0,40,4,8.82590301,259.61,18.41126684,9.82861898,0.018732303,-0.727484485,-0.159181468,0.159181468,-13.69016713
Kajaria Ceramics Ltd,KAJARIACER,Building Products - Ceramics,18724.18489,1156.65,49.66890788,7.792582839,21.3927496,3732.76,510.17,133.19,0.424678013,-0.142589711,0.903834171,-0.008502088,82.60869565,19,7.508753728,376.98,13.66736677,5.016177008,0.02724658,0.955020636,1.185922473,-1.177420385,-8.465149499
Bank of Maharashtra Ltd,MAHABANK,Public Banks,18364.13298,26.85,15.92132421,2.89928907,0,15673.96,1153.43,0,0.043103789,0.039814047,0.043103789,0,0,0,0,1153.43,7.358893349,1.171633268,0.062808846,3.199026993,0.126021625,-0.126021625,-1.309345561
Prestige Estates Projects Ltd,PRESTIGE,Real Estate,18269.22142,462.75,15.8862795,8.734616355,2.725395176,7408.1,1509.3,359.3,0.506580258,-0.563035895,0.703402775,0,94.44444444,17,29.65964344,1150,20.37364506,2.46611431,0.082614358,-0.527362581,0.646947138,-0.646947138,1.15173753
ZF Commercial Vehicle Control Systems India Ltd,ZFCVINDIA,Auto Parts,17985.9608,9473.3,126.5903773,4.173985171,30.19977682,2580.88,195.75,53.67,-0.424919695,0.289778603,-0.121607475,0,80,4,14.63798254,142.08,7.584622299,6.968925638,0.010883489,-0.651613774,-0.256748567,0.256748567,-29.97852934
Blue Dart Express Ltd,BLUEDART,Logistics,17887.29066,7577.25,46.79964066,10.33836689,18.69776281,4441.28,512.29,130.08,-1.695267696,1.628759588,-0.150721087,0,42.85714286,3,14.88336798,382.21,11.53473773,4.027507984,0.028639888,0.720839404,-0.217229195,0.217229195,-8.69032318
Mazagon Dock Shipbuilders Ltd,MAZDOCK,Shipbuilding,17774.21859,877.8,29.0979939,7.416356764,7.82934948,6143.55,749.33,138.49,-0.381787892,0.576876394,-0.342647628,0,50,1,-34.49532923,610.84,12.19701964,2.893151124,0.042158253,0.383283648,-0.147559126,0.147559126,-4.166312435
Trident Ltd,TRIDENT,Textiles,17587.42813,35.15,21.09436657,8.209909156,4.798713544,7020.84,1116.46,282.71,-0.007949225,-0.579409161,-0.004358417,0,100,2,29.44523471,833.75,15.90208579,2.505031895,0.063480572,0.142798545,-0.591716803,0.591716803,-1.410299759
Bharat Dynamics Ltd,BDL,Aerospace & Defense Equipments,17512.03486,948.75,35.02967447,-10.8017309,21.55937458,2928.61,709.91,209.99,-1.585091765,0.482321023,0.009688389,0,83.33333333,5,21.21212121,499.92,24.24051,5.979640464,0.040538407,-0.582869001,-1.093082353,1.093082353,-3.116278955
ICICI Securities Ltd,ISEC,Investment Banking & Brokerage,17040.72154,523.4,12.32512769,19.61500179,-5.176124334,3438.48,1852.76,470.16,-0.511588958,0.334131349,-0.341889804,-0.009940111,63.63636364,7,6.992739778,1382.6,53.88311114,4.955887933,0.108725443,0.174099658,-0.519347413,0.529287524,10.30318392
Nippon Life India Asset Management Ltd,NAM-INDIA,Asset Management,16792.56654,262.6,22.56580108,1.351895084,-9.066637146,1535.63,988.67,244.51,0.801267599,-0.152018852,0.024666713,-0.06287242,78.57142857,11,31.37852247,744.16,64.38204515,10.93529466,0.058875455,-0.553398595,0.67391546,-0.61104304,10.48419023
Rail Vikas Nigam Ltd,RVNL,Specialized Finance,16691.81047,77.95,14.11342826,26.68335056,8.793194732,20285.46,1502.17,319.48,-0.868386545,0.815638756,-0.040549297,0,100,3,-21.74470815,1182.69,7.405156205,0.822846042,0.089994432,12.20986175,-0.093297086,0.093297086,1.352073153
New India Assurance Company Ltd,NIACL,Insurance,16676.80774,115,85.71550029,10.2904801,-11.53824308,35915.52,177.61,-16.95,-0.262175243,-0.000207706,0.002771966,0,0,0,-16.08695652,194.56,0.494521588,0.464334297,0.01065012,0.770505574,-0.259610983,0.259610983,-21.17752103
Gillette India Ltd,GILLETTE,FMCG - Personal Products,16483.10746,5099.8,56.96992175,5.028494231,8.76363797,2263.9,411.33,122,-0.065904118,0.164470287,-0.060702373,0,100,1,14.02407938,289.33,18.16908874,7.280846089,0.024954639,-0.936965969,0.037863796,-0.037863796,-9.924983796
Affle (India) Ltd,AFFLE,Advertising,16313.48654,1225.65,76.26688425,76.78124103,28.51370801,1153.34,244.81,30.91,1.645019559,-0.475862631,1.357745297,0,88.88888889,8,12.02219231,213.9,21.22617788,14.14455975,0.015006602,-0.490551703,2.526902225,-2.526902225,-13.25108896
Clean Science and Technology Ltd,CLEAN,Specialty Chemicals,16087.71317,1508.95,70.40882825,29.69994338,31.06062726,714.86,304.8,76.31,0.182243471,0.003380951,0.247557512,-0.013729927,42.85714286,3,19.28824679,228.49,42.63771927,22.50470466,0.018946136,-0.380182774,0.433181934,-0.419452007,-6.929527454
Ajanta Pharma Ltd,AJANTPHARM,Pharmaceuticals,16026.02959,1234.3,22.48699219,11.48512276,8.778101468,3456.67,909.48,196.8,0.680717225,-0.06747387,0.26008632,0,72.72727273,8,24.11893381,712.68,26.31087145,4.636262527,0.056750176,3.835450298,0.873329675,-0.873329675,2.133164807
Carborundum Universal Ltd,CARBORUNIV,Industrial Machinery,15975.44863,838.4,47.92538738,9.457164529,35.47304483,3384.88,476.54,143.2,0.60573588,-0.383854604,0.609536694,-0.019678004,80,8,15.27910305,333.34,14.07849023,4.719649923,0.029829522,-0.020768543,0.83141797,-0.811739966,-8.259061932
IIFL Wealth Management Ltd,IIFLWAM,Asset Management,15968.84984,1865.05,27.64115808,36.10601887,-22.10142312,2077.83,751.29,173.57,-0.108125935,0.646206507,-0.162797385,-0.019202051,100,5,18.87080775,577.72,36.15743348,7.685349543,0.047047221,-0.386143674,0.375283187,-0.356081136,2.126353727
Exide Industries Ltd,EXIDEIND,Batteries,15775.80437,185.9,3.61256177,7.91886562,-9.90668422,16513.82,4623.14,256.21,-0.002698,0.078167647,0.589300941,0,81.25,13,15.11565358,4366.93,27.99558188,0.955309212,0.293052569,6.947628054,0.664770588,-0.664770588,7.998854689
Piramal Pharma Ltd,PPLPHARMA,Pharmaceuticals,15755.05319,135.7,41.90619532,0,7.804256788,6893.93,484.98,109.02,0,0,0,0,100,2,41.85703758,375.96,7.034884311,2.285351489,0.030782505,-0.582535719,0,0,-8.863461682
IRB Infrastructure Developers Ltd,IRB,Construction & Engineering,15738.0177,273.55,43.54856996,1.262196803,3.865742788,6355.45,549.63,188.24,0.243783739,0.111399569,0.18631843,0.000827952,62.5,5,2.357887041,361.39,8.648168108,2.476302654,0.034923712,-0.078109293,0.541501738,-0.54232969,-8.609252352
J B Chemicals and Pharmaceuticals Ltd,JBCHEPHARM,Pharmaceuticals,15687.35748,2015.3,40.70726179,12.05438755,26.07622581,2463.47,504.91,119.54,0.677986488,-0.19726012,0.283814955,-0.037258976,81.81818182,9,14.12692899,385.37,20.49588588,6.367992092,0.03218579,-0.612384646,0.764541323,-0.727282347,-5.014804807
Elgi Equipments Ltd,ELGIEQUIP,Industrial Machinery,15633.5876,470.4,87.61748359,13.2781308,16.01898489,2581,263.04,84.61,-0.247740822,1.067729168,-1.174101654,-0.128750518,0,0,-10.18282313,178.43,10.19139868,6.057182332,0.016825313,0.047709126,-0.354113308,0.482863826,-19.43312227
SJVN Ltd,SJVN,Renewable Energy,15631.96845,39.15,15.79305764,-3.253747284,-3.811581285,2647.72,1359.82,370.02,0.425661727,0.03701628,0.419775186,0,100,3,12.38825032,989.8,51.35814965,5.903935631,0.086989684,0.025850446,0.882453193,-0.882453193,9.118348913
Aptus Value Housing Finance India Ltd,APTUS,Home Financing,15605.9607,315.1,42.16345796,46.06818934,-1.834065293,840.21,480.01,109.88,-0.218403649,-16.69855238,-0.157077905,-0.134540949,87.5,7,19.4858775,370.13,57.12976518,18.57388117,0.030758119,-0.682666596,-17.07403393,17.20857488,-0.697598328
Ramco Cements Ltd,RAMCOCEM,Cement,15540.65405,658.05,17.63018339,8.522073106,20.3775393,6031.69,803.44,-78.04,0.343502402,-0.222917049,0.585170372,-0.031740338,42.42424242,14,6.374895525,881.48,13.32031321,2.57650079,0.05169924,6.178788636,0.705755725,-0.674015387,0.643668546
UTI-Sensex Exchange Traded Fund,UTISENSETF,Equity,15502.99561,664.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,-1,0,0,NULL
Gujarat State Petronet Ltd,GSPL,Gas Distribution,15380.3876,266.9,9.388073909,24.70080099,4.129534938,18150.47,2956.59,1318.3,2.406065453,0.77564122,-0.994939705,0,90.47619048,19,21.7684526,1638.29,16.28933025,0.847382332,0.192231176,NULL,2.186766968,-2.186766968,NULL
CreditAccess Grameen Ltd,CREDITACC,Consumer Finance,15325.85257,982.2,42.21532771,31.13226153,-18.39476679,2750.13,480.79,117.75,1.948055982,0.662138012,-0.582224359,-0.082516241,100,12,23.29464468,363.04,17.48244628,5.572773858,0.031371175,-0.84848161,2.027969635,-1.945453394,-5.88834835
Aavas Financiers Ltd,AAVAS,Home Financing,15197.61381,1936.5,42.7872795,33.71063611,-22.96174319,1305.65,452.7,97.51,0.809894894,-1.398486161,0.555671478,-0.032528128,53.84615385,7,29.02143042,355.19,34.6723854,11.63988344,0.029787571,-0.525240625,-0.032919789,0.065447917,-2.168263628
Narayana Hrudayalaya Ltd,NH,Hospitals & Diagnostic Centres,15140.28439,746.4,44.2776054,14.62809321,17.01058921,3735.88,429.79,87.85,-1.224380581,-0.478147952,-0.231061432,0,87.5,7,14.54983923,341.94,11.50438451,4.05266882,0.028387181,1.861318117,-1.933589965,1.933589965,-8.211373185
Godrej Industries Ltd,GODREJIND,Diversified Chemicals,15068.03883,454.55,23.0493305,11.51613739,0,15349.62,1282.36,628.63,-0.180919025,0.072784294,-0.153145808,-0.01076559,100,1,40.35859641,653.73,8.354343625,0.981655496,0.085104639,3.108702635,-0.261280539,0.272046129,-2.961891195
Asahi India Glass Ltd,ASAHIINDIA,Auto Parts,14967.30521,613.2,43.41117587,6.128023306,19.07707302,3201.12,510.71,165.93,-0.152165496,1.656774916,-0.082055641,-0.001433626,0,0,-0.277234181,344.78,15.95410356,4.675646402,0.034121707,-0.791452818,1.422553779,-1.421120153,-6.706492836
Five-Star Business Finance Ltd,FIVESTAR,Consumer Finance,14544.26406,500.2,32.06831605,71.0019015,0,1256.17,604.2,150.66,0,0,0,0,0,0,0,453.54,48.09858538,11.57826095,0.04154215,-0.607584221,0,0,3.855671278
Punjab & Sind Bank,PSB,Public Banks,14428.73201,21.3,13.88646553,-1.643306886,0,8055.19,1186.68,147.63,0.00847762,0.005195251,0.009416939,0,0,0,0,1039.05,14.73186852,1.791234224,0.082244233,5.4124999,0.02308981,-0.02308981,1.570248176
Alkyl Amines Chemicals Ltd,ALKYLAMINE,Specialty Chemicals,14363.67102,2824.65,63.86976309,25.41678637,14.23396575,1556.98,302.11,77.22,-0.143876422,0.03622286,-0.148632015,-0.011180169,50,2,10.06673393,224.89,19.403589,9.225340737,0.021032924,-0.806710953,-0.256285577,0.267465746,-11.38229266
KEI Industries Ltd,KEI,Cables,14362.44456,1588.9,38.19595916,16.82285762,16.71642415,5741.18,507.53,131.51,-1.401826203,0.510015715,-2.001693305,-0.036677359,76.92307692,10,9.509723708,376.02,8.840168746,2.501653765,0.035337299,2.687381983,-2.893503793,2.930181152,-7.390478056
Redington (India) Ltd,REDINGTON,Technology Hardware,14347.79306,183.7,11.21000153,8.795395488,17.01173747,62731.57,1622.36,342.45,-0.005535371,-0.809965838,0.07485631,0,100,8,11.59499183,1279.91,2.586193841,0.228717264,0.113073836,9.926598713,-0.740644899,0.740644899,0.140536531
Radico Khaitan Ltd,RADICO,Alcoholic Beverages,14241.77328,1063,54.10596945,11.08859481,15.65534318,2875.44,331.62,68.4,2.594839758,0.516682537,-0.528451488,0,40,4,-1.222953904,263.22,11.53284367,4.952902262,0.023285022,-0.954162792,2.583070807,-2.583070807,-10.23605444
City Union Bank Ltd,CUB,Private Banks,14040.67785,186.75,18.47068755,5.865303482,-36.98675743,4863.86,985.16,225,-1.502220882,3.152546461,-1.765883507,0,76.19047619,16,17.80455154,760.16,20.25469483,2.886735607,0.070164704,0.691518515,-0.115557928,0.115557928,0.589991967
Lakshmi Machine Works Ltd,LAXMIMACH,Industrial Machinery,13994.33417,13167.6,77.29541106,4.594421817,45.00399779,3239.29,238.32,57.27,0.105082842,0.423298699,-0.102592905,-0.005784892,100,2,11.58449528,181.05,7.357167774,4.320185649,0.017029749,-0.33400838,0.425788636,-0.420003744,-17.46161576
National Aluminium Co Ltd,NATIONALUM,Metals - Aluminium,13675.36894,74.5,4.633503629,12.73411431,-3.569013616,14478.23,3954.31,1002.9,2.448993768,-2.0199921,0.678155692,0,44.44444444,4,11.40939597,2951.41,27.31210928,0.944547016,0.289155636,3.469568949,1.10715736,-1.10715736,6.813832991
Happiest Minds Technologies Ltd,HAPPSTMNDS,IT Services & Consulting,13545.25852,944.65,74.75308234,20.45959808,18.92991377,1130.75,245.85,64.65,0.067728852,-0.065865898,0.06229796,0,100,2,18.19192293,181.2,21.7422065,11.97900378,0.018150263,-0.921899984,0.064160914,-0.064160914,-13.46715373
Ratnamani Metals and Tubes Ltd,RATNAMANI,Building Products - Pipes,13481.42397,1977.25,41.78472593,17.3738665,19.84649675,3176.48,430.94,108.3,-0.105671118,0.227382583,-0.136329396,-0.058994607,100,4,12.70704261,322.64,13.56658943,4.244139415,0.031965466,1.809179748,-0.014617931,0.073612538,-6.60589367
Indiamart Intermesh Ltd,INDIAMART,Online Services,13451.67423,4384.35,45.19899947,21.13291701,14.04907125,865.68,390.44,92.83,0.276600288,1.405670384,0.417533166,0,75,9,18.14750191,297.61,45.10211626,15.53885296,0.029025383,-0.727471919,2.099803838,-2.099803838,0.318862176
Campus Activewear Ltd,CAMPUS,Apparel & Accessories,13283.15149,443.75,122.3802422,0,36.66449381,1196.58,171.13,62.59,-0.03970865,0.910212863,-0.061026639,-0.069655644,60,3,28.45070423,108.54,14.30159287,11.10093056,0.012883238,0.382242861,0.809477574,-0.73982193,-26.72173222
Indian Energy Exchange Ltd,IEX,Power Trading & Consultancy,13260.99406,148.4,42.87975831,16.12789789,-1.734339101,491.83,405.25,95.99,0.747154627,-4.984951014,2.497032132,0,25,3,-7.345013477,309.26,82.39635646,26.96255629,0.030559549,-0.588970232,-1.740764255,1.740764255,9.296715917
Nuvoco Vistas Corporation Ltd,NUVOCO,Cement,13216.42167,375,411.9832191,12.53445214,17.32554425,9360.11,50.9,18.82,0.61271771,-0.660544969,1.351814034,0.064957582,66.66666667,10,12,32.08,0.543797028,1.411994268,0.003851269,18.03118964,1.303986775,-1.368944357,-98.02606141
IDFC Ltd,IDFC,Diversified Financials,13144.61777,80.8,205.2884238,-56.05331711,0,170.51,124.81,60.78,4.414782379,0.636447901,2.138320487,0,0,0,0,64.03,73.1980529,77.09001097,0.009495141,-0.981783334,7.189550767,-7.189550767,-31.47065087
Angel One Ltd,ANGELONE,Investment Banking & Brokerage,13142.65659,1583.45,21.03498174,33.07615444,-4.692699137,2305.07,836.45,211.65,0.810677102,0.726393836,0.710390096,-0.128298334,100,6,26.30648268,624.8,36.28740125,5.701630141,0.063643906,12.51867926,2.247461034,-2.1191627,7.50463995
DCM Shriram Ltd,DCMSHRIRAM,Diversified Chemicals,13071.92912,852.8,12.24708776,11.3109501,0,9971.2,1564.98,497.63,-0.110567822,-0.072369077,0.006105464,0,0,0,0,1067.35,15.6950016,1.310968501,0.119720661,3.325768849,-0.176831435,0.176831435,1.649212815
